REFUND_ID,CUSTOMER_NAME,JOIN_DATE,REFUND_DATE,REFUND_AMOUNT,REFUND_STATUS,ENQUIRY_ID
R101,Ava Jones,10-01-2022,10-04-2022,800,Completed,E105
R102,Benjamin Wilson,13-01-2022,13-03-2022,3500,Pending,E108
R103,Elijah Taylor,18-01-2022,18-04-2022,800,Pending,E110
R104,Lucas King,11-02-2022,11-05-2022,800,Completed,E120
R105,Matthew Hall,15-02-2022,15-05-2022,800,Pending,E122
R106,Jack Perez,20-02-2022,20-04-2022,3500,Pending,E124
R107,Scarlett Nelson,22-02-2022,22-05-2022,800,Completed,E127
R108,Sophia Mitchell,27-02-2022,27-04-2022,1000,Completed,E129
R109,Logan Lewis,09-03-2022,09-05-2022,3500,Completed,E132
R110,Zoey Wright,16-03-2022,16-05-2022,1000,Pending,E135
R111,Gabriel King,26-03-2022,26-05-2022,1000,Pending,E138
R112,Isaac Walker,29-03-2022,29-05-2022,3500,Completed,E140
R113,Caleb Parker,06-04-2022,06-06-2022,1000,Completed,E142
R114,Abigail Evans,07-04-2022,07-09-2022,2000,Pending,E143
R115,Emily Harris,13-04-2022,13-09-2022,2000,Pending,E145
R116,Henry Young,28-04-2022,28-05-2022,2000,Completed,E151
R117,Owen Perez,01-05-2022,01-10-2022,2000,Completed,E153
R118,Samuel Williams,08-05-2022,08-06-2022,2000,Completed,E155
R119,Aurora Campbell,14-05-2022,14-10-2022,2000,Completed,E156
R120,Ellie Martin,19-05-2022,19-12-2022,1000,Completed,E160
R121,Abigail Anderson,27-05-2022,27-06-2022,2000,Pending,E163
R122,Dominic Foster,02-06-2022,02-01-2023,1000,Completed,E164
R123,Sophia Young,08-06-2022,08-10-2022,500,Pending,E168
R124,Lily Harris,22-06-2022,22-04-2023,500,Completed,E174
R125,Nora Lewis,26-06-2022,26-10-2022,500,Pending,E176
R126,Lily Harris,29-06-2022,29-04-2023,500,Pending,E178
R127,Henry Wright,07-07-2022,07-11-2022,500,Completed,E182
R128,Amelia King,24-07-2022,24-11-2022,500,Completed,E186
R129,Ava Perez,25-07-2022,25-05-2023,500,Pending,E187
R130,Matthew Lewis,04-08-2022,04-12-2022,500,Completed,E192
